"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"68",2.50678235377345,1.57226931608804,3.99674388152853,"2009",17,"Global","La Rioja","La Rioja","RI",76,"diabetes"
"69",2.56510650454378,1.6439140265818,4.00250333853174,"2011",1,"Global","Andalucía","Andalucia","AN",61,"diabetes"
"70",2.22999646440018,1.39866750325709,3.55544417787424,"2011",2,"Global","Aragón","Aragon","AR",62,"diabetes"
"71",2.36079871419867,1.49822339078268,3.71998635400462,"2011",3,"Global","Asturias","Asturias","AS",63,"diabetes"
"72",2.80948164961369,1.76212417689583,4.47935919784084,"2011",4,"Global","Balears","Balears","IB",64,"diabetes"
"73",2.48183945259875,1.5204403547902,4.05114679380212,"2011",5,"Global","Canarias","Canarias","CN",65,"diabetes"
"74",2.46699299978094,1.52324054042377,3.9954651280979,"2011",6,"Global","Cantabria","Cantabria","CB",66,"diabetes"
"75",2.11065853354355,1.31863881000578,3.3783924842927,"2011",7,"Global","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"76",2.46699299978094,1.57484995331054,3.86452972753021,"2011",8,"Global","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"77",2.68317286738586,1.71285231263403,4.20317419264501,"2011",9,"Global","Cataluña","Catalunya","CT",69,"diabetes"
"78",2.53704495447259,1.6132326127533,3.98987539064777,"2011",10,"Global","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"79",2.91829633765274,1.83396446873213,4.64373964684553,"2011",11,"Global","Extremadura","Extremadura","EX",70,"diabetes"
"80",2.55742271647509,1.64220524471475,3.98270007466632,"2011",12,"Global","Galicia","Galicia","GA",71,"diabetes"
"81",2.7787467035812,1.76346390030068,4.37856042380387,"2011",13,"Global","Madrid","Madrid","MD",72,"diabetes"
"82",2.6064783003887,1.64444016324769,4.13133252412169,"2011",14,"Global","Murcia","Murcia","MC",73,"diabetes"
"83",2.29790996744148,1.4440909164224,3.65654970779026,"2011",15,"Global","Navarra","Navarra","NC",74,"diabetes"
"84",2.29561320604613,1.45115530317872,3.63147898796906,"2011",16,"Global","País Vasco","Pais Vasco","PV",75,"diabetes"
"85",2.47193192305747,1.55955418254723,3.91807319079505,"2011",17,"Global","La Rioja","La Rioja","RI",76,"diabetes"
"86",2.93585875022918,1.8486210818346,4.66253830273501,"2014",1,"Global","Andalucía","Andalucia","AN",61,"diabetes"
"87",2.34902418148972,1.48201107521427,3.72326138279747,"2014",2,"Global","Aragón","Aragon","AR",62,"diabetes"
"88",2.23446092029673,1.40421720773249,3.55558639848575,"2014",3,"Global","Asturias","Asturias","AS",63,"diabetes"
"89",2.57538747880251,1.62164327109931,4.0900614729382,"2014",4,"Global","Balears","Balears","IB",64,"diabetes"
"90",2.89793959501171,1.81049447757867,4.63854156990752,"2014",5,"Global","Canarias","Canarias","CN",65,"diabetes"
"91",2.21001654074135,1.37800940820108,3.54436847911394,"2014",6,"Global","Cantabria","Cantabria","CB",66,"diabetes"
"92",2.2818807653293,1.44247443999179,3.60975535012565,"2014",7,"Global","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"93",2.36552503637381,1.49828332091691,3.73474670617496,"2014",8,"Global","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"94",2.67246161270735,1.71271528993,4.1700165307021,"2014",9,"Global","Cataluña","Catalunya","CT",69,"diabetes"
"95",2.7731947639643,1.77031943136362,4.34419295333339,"2014",10,"Global","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"96",2.55486657204385,1.62456485762633,4.01790249881697,"2014",11,"Global","Extremadura","Extremadura","EX",70,"diabetes"
"97",2.55742271647509,1.62619023503722,4.02192241093685,"2014",12,"Global","Galicia","Galicia","GA",71,"diabetes"
"98",2.16409010870612,1.36266180981342,3.43686596694224,"2014",13,"Global","Madrid","Madrid","MD",72,"diabetes"
"99",2.82074208206314,1.77265779599414,4.48850641759633,"2014",14,"Global","Murcia","Murcia","MC",73,"diabetes"
"100",2.20339642625594,1.37388157482241,3.53375130739706,"2014",15,"Global","Navarra","Navarra","NC",74,"diabetes"
"101",2.50427682439316,1.59239631814611,3.93834269881629,"2014",16,"Global","País Vasco","Pais Vasco","PV",75,"diabetes"
"102",2.30020902674699,1.44270525436684,3.66738912935501,"2014",17,"Global","La Rioja","La Rioja","RI",76,"diabetes"
"103",2.69932029844108,1.75039241510347,4.16268375634234,"2017",1,"Global","Andalucía","Andalucia","AN",61,"diabetes"
"104",2.55998141832927,1.62781723863847,4.02594634497948,"2017",2,"Global","Aragón","Aragon","AR",62,"diabetes"
"105",2.35608183522155,1.49230215793409,3.71983755752641,"2017",3,"Global","Asturias","Asturias","AS",63,"diabetes"
"106",2.33964685192599,1.47320455869367,3.71567367167333,"2017",4,"Global","Balears","Balears","IB",64,"diabetes"
"107",2.90664646757544,1.81949683758424,4.64336816253335,"2017",5,"Global","Canarias","Canarias","CN",65,"diabetes"
"108",2.3513743805749,1.48058902727429,3.73429856345932,"2017",6,"Global","Cantabria","Cantabria","CB",66,"diabetes"
"109",2.04827914672338,1.24992056338142,3.35657127805939,"2017",7,"Global","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"110",2.73737655483049,1.71689941779754,4.36439684541803,"2017",8,"Global","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"111",2.38452513572846,1.53719603447713,3.69891672590405,"2017",9,"Global","Cataluña","Catalunya","CT",69,"diabetes"
"112",2.85194152732098,1.78875527344218,4.54705604283482,"2017",10,"Global","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"113",2.72100146988158,1.7066288637645,4.33828886660585,"2017",11,"Global","Extremadura","Extremadura","EX",70,"diabetes"
"114",2.44000478410022,1.56680732823915,3.79984394962137,"2017",12,"Global","Galicia","Galicia","GA",71,"diabetes"
"115",2.54976194522812,1.64371676873432,3.9552349291536,"2017",13,"Global","Madrid","Madrid","MD",72,"diabetes"
"116",2.72372383230581,1.70499128621827,4.35114922559252,"2017",14,"Global","Murcia","Murcia","MC",73,"diabetes"
"117",2.45223535897756,1.55016286561263,3.87924287777547,"2017",15,"Global","Navarra","Navarra","NC",74,"diabetes"
"118",2.30251038626171,1.46984947854464,3.60686870065929,"2017",16,"Global","País Vasco","Pais Vasco","PV",75,"diabetes"
"119",2.26369854505949,1.42259120364004,3.60211077489628,"2017",17,"Global","La Rioja","La Rioja","RI",76,"diabetes"
"120",2.4133118119754,1.51958914655207,3.83266352950385,"2020",1,"Global","Andalucía","Andalucia","AN",61,"diabetes"
"121",2.6939270528875,1.66989374724441,4.3459309780965,"2020",2,"Global","Aragón","Aragon","AR",62,"diabetes"
"122",2.34433082804464,1.47905001511097,3.71582230159277,"2020",3,"Global","Asturias","Asturias","AS",63,"diabetes"
"123",2.36789174456705,1.48224821595706,3.782707412718,"2020",4,"Global","Balears","Balears","IB",64,"diabetes"
"124",2.96833146900237,1.85447196397827,4.75121321918944,"2020",5,"Global","Canarias","Canarias","CN",65,"diabetes"
"125",2.26823047256647,1.41153815517954,3.64486745030616,"2020",6,"Global","Cantabria","Cantabria","CB",66,"diabetes"
"126",2.19460044424291,1.35771073724442,3.5473469994398,"2020",7,"Global","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"127",2.29561320604613,1.45115530317872,3.63147898796906,"2020",8,"Global","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"128",2.56510650454378,1.65360871551124,3.97903767555954,"2020",9,"Global","Cataluña","Catalunya","CT",69,"diabetes"
"129",2.81510623562406,1.78304040523298,4.44455610461277,"2020",10,"Global","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"130",2.5017737992899,1.59080471776079,3.93440632463259,"2020",11,"Global","Extremadura","Extremadura","EX",70,"diabetes"
"131",2.29561320604613,1.4568549960666,3.61727145529348,"2020",12,"Global","Galicia","Galicia","GA",71,"diabetes"
"132",2.63267384280886,1.69052646808541,4.09988940927945,"2020",13,"Global","Madrid","Madrid","MD",72,"diabetes"
"133",2.81792274988211,1.78482433745567,4.44900288373638,"2020",14,"Global","Murcia","Murcia","MC",73,"diabetes"
"134",2.44000478410022,1.51843469754688,3.92089521930078,"2020",15,"Global","Navarra","Navarra","NC",74,"diabetes"
"135",2.44488967693296,1.55768383995817,3.83741898005044,"2020",16,"Global","País Vasco","Pais Vasco","PV",75,"diabetes"
"136",2.45223535897756,1.53805710533377,3.90977567410596,"2020",17,"Global","La Rioja","La Rioja","RI",76,"diabetes"
"137",1.62579999621134,1.34694625923624,1.96238388098689,"2001",1,"Hombres","Andalucía","Andalucia","AN",61,"diabetes"
"138",1.62579999621134,1.34694625923624,1.96238388098689,"2001",2,"Hombres","Aragón","Aragon","AR",62,"diabetes"
"139",1.62579999621134,1.34694625923624,1.96238388098689,"2001",3,"Hombres","Asturias","Asturias","AS",63,"diabetes"
"140",1.62579999621134,1.34694625923624,1.96238388098689,"2001",4,"Hombres","Balears","Balears","IB",64,"diabetes"
"141",1.62579999621134,1.34694625923624,1.96238388098689,"2001",5,"Hombres","Canarias","Canarias","CN",65,"diabetes"
"142",1.62579999621134,1.34694625923624,1.96238388098689,"2001",6,"Hombres","Cantabria","Cantabria","CB",66,"diabetes"
"143",1.62579999621134,1.34694625923624,1.96238388098689,"2001",7,"Hombres","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"144",1.62579999621134,1.34694625923624,1.96238388098689,"2001",8,"Hombres","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
