"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","ccaa"
"67",5.16876265159612,3.61497784277087,7.39039311180318,2003,"obesity","Mujeres",0
"68",4.46399771358678,3.46022077218391,5.75896074236066,2006,"obesity","Mujeres",0
"69",2.35556951287025,1.93284748197054,2.87074266424109,2011,"obesity","Mujeres",0
"70",6.59134442212073,5.02088659639316,8.6530178399632,2014,"obesity","Mujeres",0
"71",4.45885118871326,3.48459108464891,5.7055055930882,2017,"obesity","Mujeres",0
"72",3.74961335655328,2.84134607264318,4.94821819102229,2020,"obesity","Mujeres",0
"73",1.04431860309459,0.940381254008658,1.15974381679816,2003,"smoking","Overall",0
"74",1.28613319105743,1.15062026852735,1.43760598555827,2006,"smoking","Overall",0
"75",1.14185521815994,1.02979576350131,1.26610866489296,2011,"smoking","Overall",0
"76",1.06691192526177,0.929274308475846,1.22493546403189,2014,"smoking","Overall",0
"77",1.17385895309169,1.01938175204559,1.35174564287462,2017,"smoking","Overall",0
"78",1.31117767009276,1.1255954263503,1.52735773645091,2020,"smoking","Overall",0
"79",1.26880342448031,1.11186837432698,1.44788912711671,2003,"smoking","Hombres",0
"80",1.52171421316925,1.32227475222108,1.75123524265411,2006,"smoking","Hombres",0
"81",1.2464419378092,1.09847818664581,1.41433623645593,2011,"smoking","Hombres",0
"82",1.41596779383539,1.20658694880515,1.66168281130882,2014,"smoking","Hombres",0
"83",1.61591404227328,1.36572898502077,1.91192998073207,2017,"smoking","Hombres",0
"84",1.87486249062038,1.56276500127414,2.24928850842535,2020,"smoking","Hombres",0
"85",0.773832092824594,0.654844235489354,0.914440527124448,2003,"smoking","Mujeres",0
"86",1.04671098276182,0.879316814840936,1.24597171684064,2006,"smoking","Mujeres",0
"87",1.01354171171506,0.85363604999481,1.20340138094277,2011,"smoking","Mujeres",0
"88",0.678572174857158,0.530576744518281,0.867848433327835,2014,"smoking","Mujeres",0
"89",0.748189406907015,0.591249555724077,0.946786992376383,2017,"smoking","Mujeres",0
"90",0.76012834716628,0.588056824359281,0.982549781299246,2020,"smoking","Mujeres",0
"91",1.52467055957454,1.39175298841811,1.67028225164838,2003,"alcohol","Overall",0
"92",1.40459177334958,1.30219074252205,1.51504536573521,2006,"alcohol","Overall",0
"93",1.20248387179937,1.13245271679422,1.27684577068337,2011,"alcohol","Overall",0
"94",3.11372405420511,2.775022441161,3.49376543480465,2014,"alcohol","Overall",0
"95",3.46034496349616,3.11467547879846,3.84437715835886,2017,"alcohol","Overall",0
"96",3.31658648532037,2.97092106593247,3.70246993120878,2020,"alcohol","Overall",0
"97",0.882893973083702,0.826799073338016,0.942794679922004,2003,"alcohol","Hombres",0
"98",0.54216093548539,0.408551512321337,0.719464917156401,2006,"alcohol","Hombres",0
"99",0.586452399257165,0.476755724161287,0.721389170941836,2011,"alcohol","Hombres",0
