"","ccaa","education_3","encuesta","sexo","diabetes","diabetes_low","diabetes_upp","hta","hta_low","hta_upp","col","col_low","col_upp","obesity","obesity_low","obesity_upp","sobrepeso","sobrepeso_low","sobrepeso_upp","smoking","smoking_low","smoking_upp","alcohol","alcohol_low","alcohol_upp","sedentarismo","sedentarismo_low","sedentarismo_upp","food","food_low","food_upp","nombre","nombre_notilde","abreviatura","id_mapa"
"971",7,2,2006,"Overall",0.0258717074502336,0.00695796693776585,0.0447854479627013,0.0787834955195268,0.0453319777247386,0.112235013314315,0.0929140610121013,0.0608775892726787,0.124950532751524,0.0846599371198167,0.051398910573361,0.117920963666272,0.435390545329887,0.373922310838395,0.496858779821378,0.332284247966991,0.273440779393168,0.391127716540814,0.678789653963251,0.587901371051005,0.769677936875496,0.372792131974678,0.312372706226119,0.433211557723237,0.741410534555275,0.687577270014534,0.795243799096017,"Castilla y León","Castilla y Leon","CL",67
"972",7,2,2009,"Overall",0.0127990937246874,0.00451424091533858,0.0210839465340362,0.110656326809743,0.0836440658155418,0.137668587803945,0,0,0,0.0900010705170828,0.0631740883681226,0.116828052666043,0.460929764932758,0.411883716961415,0.509975812904102,0.383766705170583,0.335556217806074,0.431977192535091,0.358117998352189,0.31075494834741,0.405481048356968,0.75596011877261,0.711798320335815,0.800121917209406,0.432644278872685,0.383787662113172,0.481500895632198,"Castilla y León","Castilla y Leon","CL",67
"973",7,2,2011,"Overall",0.0550230328538394,0.0417153286492976,0.0683307370583812,0.200431256065569,0.175213187414119,0.225649324717018,0.200350956361672,0.175104003383404,0.22559790933994,0.121936634173059,0.100015521199271,0.143857747146848,0.512000652809142,0.47892167703447,0.545079628583814,0.304919221756705,0.273862993108046,0.335975450405364,0.729432482317615,0.687029874021798,0.771835090613432,0.409281076837912,0.376694139488873,0.441868014186951,0.591591915508945,0.559460200800025,0.623723630217865,"Castilla y León","Castilla y Leon","CL",67
"974",7,2,2014,"Overall",0.0449343087570225,0.0257890565665749,0.0640795609474702,0.156932037901494,0.125262784783329,0.18860129101966,0.169424742738284,0.13714695615644,0.201702529320129,0.144088138389936,0.108136432353402,0.180039844426471,0.511308151113175,0.463595345210224,0.559020957016125,0.339215958438954,0.294348779749452,0.384083137128456,0.28986791810074,0.245458214154463,0.334277622047017,0.327340051976554,0.283270399872967,0.371409704080141,0.63671853799465,0.590581282355552,0.682855793633748,"Castilla y León","Castilla y Leon","CL",67
"975",7,2,2017,"Overall",0.0612036961409856,0.0421071211042872,0.080300271177684,0.190631731485332,0.157247372236539,0.224016090734124,0.186282176739204,0.153262391404395,0.219301962074014,0.124042689646554,0.094706381711004,0.153378997582105,0.527041494939215,0.483135024436721,0.57094796544171,0.329476691364304,0.288020034376749,0.370933348351858,0.239965428740402,0.202840653097416,0.277090204383387,0.245192629847165,0.206733161787741,0.28365209790659,0.634061889389325,0.591807227395152,0.676316551383497,"Castilla y León","Castilla y Leon","CL",67
"976",7,2,2020,"Overall",0.0856898320939654,0.0609556079301765,0.110424056257754,0.262622489021367,0.222635879255691,0.302609098787044,0.275008868296157,0.233089774459441,0.316927962132874,0.172536834070713,0.136415363414497,0.208658304726929,0.538235602019854,0.48939418237275,0.587077021666958,0.268060853113016,0.222957788723317,0.313163917502715,0.239722748869762,0.200265245797565,0.279180251941959,0.288968071552413,0.245447442936061,0.332488700168766,0.55524529124319,0.506990188246028,0.603500394240352,"Castilla y León","Castilla y Leon","CL",67
"977",7,3,2001,"Overall",0.0195886908242743,-0.0184273030615801,0.0576046847101287,0.117690539750296,0.0292362339594567,0.206144845541136,0.0195886908242743,-0.0184273030615801,0.0576046847101287,0.137332028842787,0.0428436569902813,0.231820400695293,0.372739507477488,0.240018437259196,0.50546057769578,0.313683044529473,0.186344514264128,0.441021574794817,0,0,0,0.274664057685575,0.152141924235467,0.397186191135682,0.666675466378036,0.537298775034551,0.796052157721521,"Castilla y León","Castilla y Leon","CL",67
"978",7,3,2003,"Overall",0.0326919463463828,0.0158897686215429,0.0494941240712227,0.0810947050193109,0.0564316522872491,0.105757757751373,0.0953174196456534,0.0675725831773725,0.123062256113934,0.0746868987542044,0.0500035475162856,0.0993702499921232,0.375750208998694,0.329469545935897,0.422030872061492,0.298899475639229,0.254010789237237,0.343788162041221,0.286747530300028,0.243700231516264,0.329794829083792,0.386559747865141,0.339571012228937,0.433548483501345,0.579556436967234,0.532179754323001,0.626933119611466,"Castilla y León","Castilla y Leon","CL",67
"979",7,3,2006,"Overall",0.0445184208676178,0.0134471471449533,0.0755896945902824,0.141396343672802,0.0884196875532125,0.194372999792392,0.117065261428784,0.0660113908360587,0.168119132021509,0.0809737770212736,0.037618897520211,0.124328656522336,0.418351524094801,0.336893605374321,0.499809442815281,0.208320544495359,0.142185742553998,0.27445534643672,0.665187970128701,0.541897092198888,0.788478848058513,0.298280406895267,0.218508213121889,0.378052600668645,0.628852563765507,0.549063670268318,0.708641457262696,"Castilla y León","Castilla y Leon","CL",67
"980",7,3,2009,"Overall",0.0112165037253331,-0.00186359060624996,0.0242965980569162,0.101412698285139,0.0590656576624093,0.143759738907868,0,0,0,0.0607531192154425,0.0280018590079828,0.0935043794229022,0.353383466155119,0.281868337243272,0.424898595066966,0.259499948020901,0.191434767464339,0.327565128577463,0.315465773283394,0.244779321236678,0.38615222533011,0.855149302234095,0.800719440610807,0.909579163857384,0.385002177930037,0.307641317141486,0.462363038718587,"Castilla y León","Castilla y Leon","CL",67
